#  Z   N   Fission Yield
  31  41   7.7196400e-10
  31  42   1.2099400e-08
  31  43   1.4599320e-07
  31  44   1.9299100e-06
  31  45   1.0459600e-05
  31  46   4.0818100e-05
  31  47   1.0281600e-04
  31  48   1.7108200e-04
  31  49   1.1706500e-04
  31  50   8.1776200e-05
  31  51   6.2617200e-05
  31  52   1.9199100e-06
  31  53   1.1067500e-04
  31  54   5.8795800e-09
  31  55   3.2798500e-07
  31  56   2.5412000e-10
  31  57   4.4240300e-12
  31  58   0.0000000e+00
  32  37   0.0000000e+00
  32  38   0.0000000e+00
  32  39   3.8611320e-15
  32  40   3.6398300e-13
  32  41   2.9388640e-11
  32  42   1.6699200e-09
  32  43   5.2407590e-08
  32  44   1.2999400e-06
  32  45   6.8506890e-06
  32  46   6.9416800e-05
  32  47   2.3250000e-04
  32  48   1.0182100e-03
  32  49   1.3216720e-03
  32  50   1.2647200e-03
  32  51   4.7886800e-04
  32  52   1.8995200e-04
  32  53   2.1299000e-05
  32  54   3.4373600e-06
  32  55   2.1958700e-05
  32  56   5.1997200e-07
  32  57   4.0432000e-11
  32  58   1.1707500e-12
  32  59   6.1374900e-14
  33  39   0.0000000e+00
  33  40   0.0000000e+00
  33  41   1.6589300e-13
  33  42   2.5598800e-11
  33  43   1.6499200e-09
  33  44   4.3098100e-08
  33  45   1.2999400e-06
  33  46   2.6568800e-05
  33  47   1.3695300e-04
  33  48   6.0906200e-04
  33  49   1.5585880e-03
  33  50   2.9069600e-03
  33  51   9.8699000e-04
  33  52   1.2136500e-03
  33  53   1.9923100e-04
  33  54   5.0533700e-04
  33  55   1.2430100e-03
  33  56   1.5398900e-06
  33  57   3.2781900e-08
  33  58   2.3375200e-09
  33  59   3.5477300e-12
  33  60   2.8435400e-13
  33  61   0.0000000e+00
  33  62   0.0000000e+00
  34  40   0.0000000e+00
  34  41   0.0000000e+00
  34  42   3.0398700e-13
  34  43   2.1149080e-11
  34  44   2.4698900e-09
  34  45   1.2649420e-07
  34  46   4.8897700e-06
  34  47   7.9646400e-05
  34  48   3.7099300e-04
  34  49   1.7644940e-03
  34  50   6.3096100e-03
  34  51   8.9339800e-03
  34  52   8.3585600e-03
  34  53   7.3106600e-03
  34  54   2.6788100e-03
  34  55   4.8549800e-04
  34  56   1.2699100e-04
  34  57   6.6573600e-06
  34  58   4.1697700e-07
  34  59   2.4571300e-08
  34  60   1.7099200e-10
  34  61   6.6259200e-13
  34  62   1.2799400e-13
  35  42   0.0000000e+00
  35  43   4.9397700e-14
  35  44   1.3509460e-11
  35  45   1.4809330e-09
  35  46   8.8595900e-08
  35  47   5.4597500e-07
  35  48   1.9538100e-04
  35  49   3.5305400e-04
  35  50   2.3502500e-03
  35  51   4.5948300e-03
  35  52   1.2718000e-02
