[1.0, 0.0, 0.066336, 0.02764, '', '']
[574100.0, 0.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.71864, 0.11056, '', '']
[574110.0, 30.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 1.21616, 0.05528, '', '']
[581380.0, 150.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.49752, 0.11056, '', '']
[586400.0, 300.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.2764, 0.11056, '', '']
[601500.0, 200.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.127144, 0.016584, '', '']
[602100.0, 200.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.016584, 0.005528, '', '']
[605110.0, 40.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 1.27144, 0.05528, '', '']
[607300.0, 800.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.16584, 0.11056, '', '']
[621300.0, 500.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.49752, 0.22112, '', '']
[623300.0, 200.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.2764, 0.11056, '', '']
[629000.0, 100.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.33168, 0.11056, '', '']
[632000.0, 400.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.2764, 0.11056, '', '']
[636500.0, 400.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.22112, 0.11056, '', '']
[642330.0, 90.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.88448, 0.11056, '', '']
[647510.0, 20.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 19.4033, 0.33168, '', '']
[653300.0, 600.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.60808, 0.22112, '', '']
[663200.0, 200.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.11056, 0.044224, '', '']
[681000.0, 100.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.11056, 0.05528, '', '']
[698100.0, 100.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.93976, 0.16584, '', '']
[702910.0, 40.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 2.43232, 0.16584, '', '']
